trial,eccentricity_pct,noise_level,offset_deg,abs_offset_deg,side,true_choice,model_choice,model_raw_text,correct,api_error
204,50.0,low,4.0,4.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
205,25.0,mid_high,8.0,8.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
206,25.0,low_mid,5.0,5.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
207,25.0,low_mid,-8.0,8.0,1,CCW,CCW,CCW,1,
208,25.0,low_mid,3.0,3.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
209,25.0,mid_high,-2.0,2.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
210,0.0,low,-7.0,7.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
211,25.0,mid_high,-7.0,7.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
212,50.0,mid_high,3.0,3.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
213,50.0,very_high,-6.0,6.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
214,0.0,low_mid,6.0,6.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
215,0.0,mid_high,-3.0,3.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
216,0.0,mid_high,-4.0,4.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
217,50.0,mid_high,6.0,6.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
218,0.0,low,1.0,1.0,1,CW,CCW,CCW,0,
219,50.0,low_mid,6.0,6.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
220,50.0,low,5.0,5.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
221,0.0,low_mid,-3.0,3.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
222,25.0,very_high,-3.0,3.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
223,25.0,low,7.0,7.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
224,50.0,low,8.0,8.0,1,CW,CCW,CCW,0,
225,50.0,low_mid,7.0,7.0,1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
226,0.0,low,-1.0,1.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
227,0.0,very_high,-3.0,3.0,1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
228,50.0,mid_high,5.0,5.0,-1,CW,CCW,CCW,0,
229,25.0,low_mid,-4.0,4.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
230,25.0,mid_high,-1.0,1.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
231,50.0,low_mid,-1.0,1.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
232,0.0,low,-7.0,7.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
233,50.0,low,-1.0,1.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
234,50.0,very_high,2.0,2.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
235,0.0,low,-6.0,6.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
236,0.0,very_high,8.0,8.0,1,CW,CCW,"Given the characteristics of the Gabor patch in the image, the orientation of the patch appears to be slightly tilted counterclockwise relative to vertical.

CCW",0,
237,50.0,very_high,-7.0,7.0,-1,CCW,CCW,CCW,1,
238,25.0,mid_high,-5.0,5.0,-1,CCW,CW,"Based on the image provided, the Gabor patch appears to be tilted slightly clockwise (CW) relative to the vertical axis. Therefore, the response is:

CW",0,
239,25.0,very_high,1.0,1.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
240,50.0,low,8.0,8.0,-1,CW,CCW,CCW,0,
241,0.0,low_mid,1.0,1.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
242,25.0,low,-5.0,5.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
243,25.0,low_mid,-8.0,8.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
244,25.0,very_high,-8.0,8.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
245,25.0,low_mid,-3.0,3.0,-1,CCW,CCW,CCW,1,
246,25.0,low,6.0,6.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
247,25.0,low,-8.0,8.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
248,0.0,very_high,2.0,2.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
249,25.0,very_high,4.0,4.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
250,0.0,low_mid,-5.0,5.0,-1,CCW,CCW,CCW,1,
251,0.0,mid_high,-3.0,3.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
252,25.0,mid_high,1.0,1.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",0,
253,50.0,mid_high,-1.0,1.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
254,50.0,low,-5.0,5.0,-1,CCW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
255,50.0,very_high,-2.0,2.0,1,CCW,CCW,CCW,1,
256,50.0,low_mid,-1.0,1.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
257,25.0,very_high,-5.0,5.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
258,25.0,very_high,5.0,5.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
259,50.0,mid_high,-2.0,2.0,-1,CCW,CCW,CCW,1,
260,0.0,low,7.0,7.0,1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be clockwise (CW) relative to vertical. Therefore, the response is:

CW",1,
261,0.0,very_high,3.0,3.0,-1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
262,0.0,mid_high,-4.0,4.0,1,CCW,CCW,CCW,1,
263,0.0,low_mid,-7.0,7.0,-1,CCW,CCW,CCW,1,
264,0.0,low,3.0,3.0,1,CW,CCW,CCW,0,
265,0.0,mid_high,-5.0,5.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly counterclockwise relative to vertical.

CCW",1,
266,50.0,low_mid,-6.0,6.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
267,0.0,low_mid,-6.0,6.0,-1,CCW,CCW,CCW,1,
268,0.0,low_mid,-8.0,8.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",1,
269,25.0,mid_high,3.0,3.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
270,0.0,low_mid,-4.0,4.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
271,25.0,mid_high,2.0,2.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
272,50.0,low,-1.0,1.0,-1,CCW,CCW,CCW,1,
273,0.0,low_mid,6.0,6.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
274,25.0,mid_high,3.0,3.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
275,25.0,very_high,-4.0,4.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
276,50.0,mid_high,-1.0,1.0,1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
277,0.0,low,8.0,8.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
278,25.0,very_high,-2.0,2.0,1,CCW,CCW,CCW,1,
279,0.0,mid_high,-1.0,1.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
280,0.0,very_high,3.0,3.0,1,CW,CCW,CCW,0,
281,25.0,very_high,2.0,2.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
282,50.0,mid_high,8.0,8.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
283,25.0,very_high,-2.0,2.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
284,0.0,low_mid,3.0,3.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
285,0.0,mid_high,3.0,3.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
286,50.0,very_high,8.0,8.0,-1,CW,CCW,CCW,0,
287,0.0,mid_high,1.0,1.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
288,50.0,low,-4.0,4.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
289,0.0,low_mid,-7.0,7.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
290,50.0,mid_high,1.0,1.0,1,CW,CCW,CCW,0,
291,25.0,low_mid,7.0,7.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
292,50.0,mid_high,-3.0,3.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
293,0.0,very_high,-6.0,6.0,-1,CCW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",1,
294,25.0,mid_high,-2.0,2.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
295,0.0,very_high,-5.0,5.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
296,25.0,very_high,2.0,2.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
297,0.0,low_mid,-2.0,2.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",1,
298,0.0,mid_high,8.0,8.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
299,0.0,low_mid,1.0,1.0,1,CW,CCW,CCW,0,
300,0.0,mid_high,-7.0,7.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
301,50.0,low_mid,7.0,7.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
302,0.0,low,-5.0,5.0,1,CCW,CCW,CCW,1,
303,25.0,mid_high,7.0,7.0,1,CW,CCW,CCW,0,
304,25.0,very_high,-5.0,5.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
305,50.0,low_mid,2.0,2.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
306,0.0,low,3.0,3.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
307,50.0,low,-2.0,2.0,-1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
308,25.0,low,3.0,3.0,-1,CW,CCW,CCW,0,
309,50.0,very_high,6.0,6.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
310,25.0,very_high,-6.0,6.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
311,50.0,low,-5.0,5.0,1,CCW,CCW,CCW,1,
312,0.0,mid_high,8.0,8.0,-1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
313,50.0,mid_high,1.0,1.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
314,50.0,mid_high,5.0,5.0,-1,CW,CCW,CCW,0,
315,25.0,mid_high,5.0,5.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
316,50.0,low,-3.0,3.0,-1,CCW,CCW,CCW,1,
317,50.0,mid_high,-7.0,7.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
318,25.0,low_mid,3.0,3.0,-1,CW,CCW,CCW,0,
319,25.0,very_high,-8.0,8.0,1,CCW,CCW,CCW,1,
320,50.0,low_mid,7.0,7.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
321,0.0,low_mid,-5.0,5.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
322,50.0,low,-6.0,6.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
323,0.0,low,-1.0,1.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
324,25.0,low,-7.0,7.0,-1,CCW,CCW,CCW,1,
325,0.0,low_mid,-2.0,2.0,1,CCW,CCW,CCW,1,
326,0.0,mid_high,-2.0,2.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
327,25.0,low,-4.0,4.0,-1,CCW,CCW,CCW,1,
328,50.0,low_mid,-2.0,2.0,1,CCW,CCW,CCW,1,
329,50.0,low,4.0,4.0,1,CW,CCW,CCW,0,
330,50.0,mid_high,-3.0,3.0,1,CCW,CCW,CCW,1,
331,25.0,low_mid,-3.0,3.0,-1,CCW,CCW,CCW,1,
332,25.0,low,-8.0,8.0,1,CCW,CCW,CCW,1,
333,25.0,low_mid,2.0,2.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
334,50.0,very_high,4.0,4.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
335,25.0,mid_high,-8.0,8.0,1,CCW,CCW,CCW,1,
336,50.0,very_high,-3.0,3.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
337,50.0,very_high,8.0,8.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
338,50.0,low,-8.0,8.0,-1,CCW,CCW,"The Gabor patch in the image appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
339,0.0,low_mid,7.0,7.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
340,0.0,low_mid,-3.0,3.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
341,0.0,very_high,6.0,6.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
342,50.0,low_mid,-3.0,3.0,1,CCW,CCW,CCW,1,
343,50.0,very_high,-3.0,3.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
344,50.0,mid_high,-8.0,8.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
345,50.0,very_high,-8.0,8.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
346,50.0,very_high,7.0,7.0,-1,CW,CCW,CCW,0,
347,50.0,low_mid,8.0,8.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
348,25.0,very_high,-6.0,6.0,1,CCW,CCW,CCW,1,
349,25.0,low_mid,-6.0,6.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
350,0.0,mid_high,-7.0,7.0,-1,CCW,CCW,CCW,1,
351,50.0,very_high,5.0,5.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
352,25.0,very_high,-5.0,5.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
353,25.0,low,1.0,1.0,-1,CW,CCW,CCW,0,
354,50.0,low_mid,-8.0,8.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
355,25.0,very_high,8.0,8.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
356,25.0,low_mid,1.0,1.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
357,50.0,low,-2.0,2.0,1,CCW,CCW,"The Gabor patch in the image appears to be oriented vertically with no discernible tilt either clockwise or counterclockwise. Given the constraints of the task, and based on the visible information, the most appropriate judgment is:

CCW",1,
358,0.0,very_high,-5.0,5.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
359,25.0,mid_high,4.0,4.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
360,0.0,low_mid,1.0,1.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
361,25.0,very_high,-1.0,1.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
362,50.0,mid_high,-6.0,6.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
363,50.0,low,-4.0,4.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
364,0.0,low_mid,-2.0,2.0,-1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
365,50.0,very_high,5.0,5.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
366,50.0,mid_high,-6.0,6.0,-1,CCW,CCW,CCW,1,
367,50.0,low,2.0,2.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
368,0.0,mid_high,-4.0,4.0,1,CCW,CCW,CCW,1,
369,50.0,low_mid,2.0,2.0,1,CW,CCW,CCW,0,
370,25.0,mid_high,-3.0,3.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
371,0.0,mid_high,1.0,1.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
372,25.0,low_mid,-4.0,4.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
373,25.0,low,8.0,8.0,-1,CW,CCW,CCW,0,
374,0.0,mid_high,6.0,6.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
375,25.0,very_high,-3.0,3.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
376,50.0,low_mid,-4.0,4.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
377,25.0,mid_high,-2.0,2.0,-1,CCW,CCW,CCW,1,
378,25.0,very_high,8.0,8.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
379,25.0,mid_high,3.0,3.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",0,
380,0.0,low_mid,-6.0,6.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
381,50.0,very_high,5.0,5.0,-1,CW,CCW,CCW,0,
382,25.0,very_high,4.0,4.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
383,0.0,mid_high,-5.0,5.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
384,0.0,mid_high,-7.0,7.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
385,25.0,mid_high,-8.0,8.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
386,25.0,very_high,4.0,4.0,-1,CW,CCW,CCW,0,
387,50.0,low,1.0,1.0,-1,CW,CCW,"Given the low visibility and resolution of the Gabor patch in the image, it is challenging to determine the precise orientation. However, based on the available visual information, the patch appears to be slightly tilted **counterclockwise** relative to vertical.

**CCW**",0,
388,50.0,low,-7.0,7.0,-1,CCW,CCW,CCW,1,
389,25.0,very_high,7.0,7.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
390,25.0,mid_high,6.0,6.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
391,25.0,low,-8.0,8.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
392,0.0,very_high,-2.0,2.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
393,50.0,low,-3.0,3.0,1,CCW,CCW,CCW,1,
394,0.0,low_mid,7.0,7.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
395,0.0,mid_high,4.0,4.0,1,CW,CCW,CCW,0,
396,25.0,low_mid,-7.0,7.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
397,25.0,mid_high,1.0,1.0,1,CW,CCW,CCW,0,
398,0.0,very_high,7.0,7.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
399,50.0,low_mid,3.0,3.0,-1,CW,CCW,CCW,0,
400,50.0,mid_high,6.0,6.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
401,25.0,low,6.0,6.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
402,25.0,low_mid,-6.0,6.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",1,
403,25.0,mid_high,8.0,8.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
404,0.0,low,-8.0,8.0,-1,CCW,CCW,CCW,1,
405,50.0,very_high,-2.0,2.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
406,0.0,low_mid,-3.0,3.0,1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
